Id,x,y
184,0.21,0.35
185,0.175,0.35
186,0.14,0.35
187,0.105,0.35
188,0.07,0.35
189,0.035,0.35
190,0,0.35
191,-0.035,0.35
192,-0.07,0.35
193,-0.105,0.35
194,-0.14,0.35
195,-0.175,0.35
196,-0.21,0.35
197,-0.245,0.35
198,-0.28,0.35
199,-0.315,0.35
200,-0.35,0.35
201,-0.35,0.315
202,-0.35,0.28
203,-0.35,0.245
204,-0.35,0.21
205,-0.35,0.175
206,-0.35,0.14
207,-0.35,0.105
208,-0.35,0.07
209,-0.35,0.035
210,-0.35,0
211,-0.35,-0.035
212,-0.35,-0.07
213,-0.35,-0.105
214,-0.35,-0.14
215,-0.35,-0.175
216,-0.35,-0.21
217,-0.35,-0.245
218,-0.35,-0.28
219,-0.35,-0.315
220,-0.35,-0.35
221,-0.315,-0.35
222,-0.28,-0.35
223,-0.245,-0.35
224,-0.21,-0.35
225,-0.175,-0.35
226,-0.14,-0.35
227,-0.105,-0.35
228,-0.07,-0.35
229,-0.035,-0.35
230,0,-0.35
231,0.035,-0.35
232,0.07,-0.35
233,0.105,-0.35
234,0.14,-0.35
235,0.175,-0.35
236,0.21,-0.35
237,0.245,-0.35
238,0.28,-0.35
239,0.315,-0.35
240,0.4,-0.4
241,0.4,-0.36
242,0.4,-0.32
243,0.4,-0.28
244,0.4,-0.24
245,0.4,-0.2
246,0.4,-0.16
247,0.4,-0.12
248,0.4,-0.08
249,0.4,-0.04
250,0.4,0
251,0.4,0.04
252,0.4,0.08
253,0.4,0.12
254,0.4,0.16
255,0.4,0.2
256,0.4,0.24
257,0.4,0.28
258,0.4,0.32
259,0.4,0.36
260,0.4,0.4
261,0.36,0.4
262,0.32,0.4
263,0.28,0.4
264,0.24,0.4
265,0.2,0.4
266,0.16,0.4
267,0.12,0.4
268,0.08,0.4
269,0.04,0.4
270,0,0.4
271,-0.04,0.4
272,-0.08,0.4
273,-0.12,0.4
274,-0.16,0.4
275,-0.2,0.4
276,-0.24,0.4
277,-0.28,0.4
278,-0.32,0.4
279,-0.36,0.4
280,-0.4,0.4
281,-0.4,0.36
282,-0.4,0.32
283,-0.4,0.28
284,-0.4,0.24
285,-0.4,0.2
286,-0.4,0.16
287,-0.4,0.12
288,-0.4,0.08
289,-0.4,0.04
290,-0.4,0
291,-0.4,-0.04
292,-0.4,-0.08
293,-0.4,-0.12
294,-0.4,-0.16
295,-0.4,-0.2
296,-0.4,-0.24
297,-0.4,-0.28
298,-0.4,-0.32
299,-0.4,-0.36
300,-0.4,-0.4
301,-0.36,-0.4
302,-0.32,-0.4
303,-0.28,-0.4
304,-0.24,-0.4
305,-0.2,-0.4
306,-0.16,-0.4
307,-0.12,-0.4
308,-0.08,-0.4
309,-0.04,-0.4
310,0,-0.4
311,0.04,-0.4
312,0.08,-0.4
313,0.12,-0.4
314,0.16,-0.4
315,0.2,-0.4
316,0.24,-0.4
317,0.28,-0.4
318,0.32,-0.4
319,0.36,-0.4
320,0.45,-0.45
321,0.45,-0.405
322,0.45,-0.36
323,0.45,-0.315
324,0.45,-0.27
325,0.45,-0.225
326,0.45,-0.18
327,0.45,-0.135
328,0.45,-0.09
329,0.45,-0.045
330,0.45,0
331,0.45,0.045
332,0.45,0.09
333,0.45,0.135
334,0.45,0.18
335,0.45,0.225
336,0.45,0.27
337,0.45,0.315
338,0.45,0.36
339,0.45,0.405
340,0.45,0.45
341,0.405,0.45
342,0.36,0.45
343,0.315,0.45
344,0.27,0.45
345,0.225,0.45
346,0.18,0.45
347,0.135,0.45
348,0.09,0.45
349,0.045,0.45
350,0,0.45
351,-0.045,0.45
352,-0.09,0.45
353,-0.135,0.45
354,-0.18,0.45
355,-0.225,0.45
356,-0.27,0.45
357,-0.315,0.45
358,-0.36,0.45
359,-0.405,0.45
360,-0.45,0.45
361,-0.45,0.405
362,-0.45,0.36
363,-0.45,0.315
364,-0.45,0.27
365,-0.45,0.225
366,-0.45,0.18
367,-0.45,0.135
368,-0.45,0.09
369,-0.45,0.045
370,-0.45,0
371,-0.45,-0.045
372,-0.45,-0.09
373,-0.45,-0.135
374,-0.45,-0.18
375,-0.45,-0.225
376,-0.45,-0.27
377,-0.45,-0.315
378,-0.45,-0.36
379,-0.45,-0.405
380,-0.45,-0.45
381,-0.405,-0.45
382,-0.36,-0.45
383,-0.315,-0.45
384,-0.27,-0.45
385,-0.225,-0.45
386,-0.18,-0.45
387,-0.135,-0.45
388,-0.09,-0.45
389,-0.045,-0.45
390,0,-0.45
391,0.045,-0.45
392,0.09,-0.45
393,0.135,-0.45
394,0.18,-0.45
395,0.225,-0.45
396,0.27,-0.45
397,0.315,-0.45
398,0.36,-0.45
399,0.405,-0.45
400,0.5,-0.5
401,0.5,-0.45
402,0.5,-0.4
403,0.5,-0.35
404,0.5,-0.3
405,0.5,-0.25
406,0.5,-0.2
407,0.5,-0.15
408,0.5,-0.1
409,0.5,-0.05
410,0.5,0
411,0.5,0.05
412,0.5,0.1
413,0.5,0.15
414,0.5,0.2
415,0.5,0.25
416,0.5,0.3
417,0.5,0.35
418,0.5,0.4
419,0.5,0.45
420,0.5,0.5
421,0.45,0.5
422,0.4,0.5
423,0.35,0.5
424,0.3,0.5
425,0.25,0.5
426,0.2,0.5
427,0.15,0.5
428,0.1,0.5
429,0.05,0.5
430,0,0.5
431,-0.05,0.5
432,-0.1,0.5
433,-0.15,0.5
434,-0.2,0.5
435,-0.25,0.5
436,-0.3,0.5
437,-0.35,0.5
438,-0.4,0.5
439,-0.45,0.5
440,-0.5,0.5
441,-0.5,0.45
442,-0.5,0.4
443,-0.5,0.35
444,-0.5,0.3
445,-0.5,0.25
446,-0.5,0.2
447,-0.5,0.15
448,-0.5,0.1
449,-0.5,0.05
450,-0.5,0
451,-0.5,-0.05
452,-0.5,-0.1
453,-0.5,-0.15
454,-0.5,-0.2
455,-0.5,-0.25
456,-0.5,-0.3
457,-0.5,-0.35
458,-0.5,-0.4
459,-0.5,-0.45
460,-0.5,-0.5
461,-0.45,-0.5
462,-0.4,-0.5
463,-0.35,-0.5
464,-0.3,-0.5
465,-0.25,-0.5
466,-0.2,-0.5
467,-0.15,-0.5
468,-0.1,-0.5
469,-0.05,-0.5
470,0,-0.5
471,0.05,-0.5
472,0.1,-0.5
473,0.15,-0.5
474,0.2,-0.5
475,0.25,-0.5
476,0.3,-0.5
477,0.35,-0.5
478,0.4,-0.5
479,0.45,-0.5
