ID,n0,n1,n3,n4
467,478,519,520,479
468,479,520,521,480
469,480,521,522,481
470,481,522,523,482
471,482,523,524,483
472,483,524,525,484
473,484,525,526,485
474,485,526,527,486
475,486,527,528,487
476,487,528,529,488
477,488,529,530,489
478,489,530,531,490
479,490,531,532,491
480,492,533,534,493
481,493,534,535,494
482,494,535,536,495
483,495,536,537,496
484,496,537,538,497
485,497,538,539,498
486,498,539,540,499
487,499,540,541,500
488,500,541,542,501
489,501,542,543,502
490,502,543,544,503
491,503,544,545,504
492,504,545,546,505
493,505,546,547,506
494,506,547,548,507
495,507,548,549,508
496,508,549,550,509
497,509,550,551,510
498,510,551,552,511
499,511,552,553,512
500,512,553,554,513
501,513,554,555,514
502,514,555,556,515
503,515,556,557,516
504,516,557,558,517
505,517,558,559,518
506,518,559,560,519
507,519,560,561,520
508,520,561,562,521
509,521,562,563,522
510,522,563,564,523
511,523,564,565,524
512,524,565,566,525
513,525,566,567,526
514,526,567,568,527
515,527,568,569,528
516,528,569,570,529
517,529,570,571,530
518,530,571,572,531
519,531,572,573,532
520,533,574,575,534
521,534,575,576,535
522,535,576,577,536
523,536,577,578,537
524,537,578,579,538
525,538,579,580,539
526,539,580,581,540
527,540,581,582,541
528,541,582,583,542
529,542,583,584,543
530,543,584,585,544
531,544,585,586,545
532,545,586,587,546
533,546,587,588,547
534,547,588,589,548
535,548,589,590,549
536,549,590,591,550
537,550,591,592,551
538,551,592,593,552
539,552,593,594,553
540,553,594,595,554
541,554,595,596,555
542,555,596,597,556
543,556,597,598,557
544,557,598,599,558
545,558,599,600,559
546,559,600,601,560
547,560,601,602,561
548,561,602,603,562
549,562,603,604,563
550,563,604,605,564
551,564,605,606,565
552,565,606,607,566
553,566,607,608,567
554,567,608,609,568
555,568,609,610,569
556,569,610,611,570
557,570,611,612,571
558,571,612,613,572
559,572,613,614,573
560,574,615,616,575
561,575,616,617,576
562,576,617,618,577
563,577,618,619,578
564,578,619,620,579
565,579,620,621,580
566,580,621,622,581
567,581,622,623,582
568,582,623,624,583
569,583,624,625,584
570,584,625,626,585
571,585,626,627,586
572,586,627,628,587
573,587,628,629,588
574,588,629,630,589
575,589,630,631,590
576,590,631,632,591
577,591,632,633,592
578,592,633,634,593
579,593,634,635,594
580,594,635,636,595
581,595,636,637,596
582,596,637,638,597
583,597,638,639,598
584,598,639,640,599
585,599,640,641,600
586,600,641,642,601
587,601,642,643,602
588,602,643,644,603
589,603,644,645,604
590,604,645,646,605
591,605,646,647,606
592,606,647,648,607
593,607,648,649,608
594,608,649,650,609
595,609,650,651,610
596,610,651,652,611
597,611,652,653,612
598,612,653,654,613
599,613,654,655,614
600,615,656,657,616
601,616,657,658,617
602,617,658,659,618
603,618,659,660,619
604,619,660,661,620
605,620,661,662,621
606,621,662,663,622
607,622,663,664,623
608,623,664,665,624
609,624,665,666,625
610,625,666,667,626
611,626,667,668,627
612,627,668,669,628
613,628,669,670,629
614,629,670,671,630
615,630,671,672,631
616,631,672,673,632
617,632,673,674,633
618,633,674,675,634
619,634,675,676,635
620,635,676,677,636
621,636,677,678,637
622,637,678,679,638
623,638,679,680,639
624,639,680,681,640
625,640,681,682,641
626,641,682,683,642
627,642,683,684,643
628,643,684,685,644
629,644,685,686,645
630,645,686,687,646
631,646,687,688,647
632,647,688,689,648
633,648,689,690,649
634,649,690,691,650
635,650,691,692,651
636,651,692,693,652
637,652,693,694,653
638,653,694,695,654
639,654,695,696,655
640,656,697,698,657
641,657,698,699,658
642,658,699,700,659
643,659,700,701,660
644,660,701,702,661
645,661,702,703,662
646,662,703,704,663
647,663,704,705,664
648,664,705,706,665
649,665,706,707,666
650,666,707,708,667
651,667,708,709,668
652,668,709,710,669
653,669,710,711,670
654,670,711,712,671
655,671,712,713,672
656,672,713,714,673
657,673,714,715,674
658,674,715,716,675
659,675,716,717,676
660,676,717,718,677
661,677,718,719,678
662,678,719,720,679
663,679,720,721,680
664,680,721,722,681
665,681,722,723,682
666,682,723,724,683
667,683,724,725,684
668,684,725,726,685
669,685,726,727,686
670,686,727,728,687
671,687,728,729,688
672,688,729,730,689
673,689,730,731,690
674,690,731,732,691
675,691,732,733,692
676,692,733,734,693
677,693,734,735,694
678,694,735,736,695
679,695,736,737,696
680,697,738,739,698
681,698,739,740,699
682,699,740,741,700
683,700,741,742,701
684,701,742,743,702
685,702,743,744,703
686,703,744,745,704
687,704,745,746,705
688,705,746,747,706
689,706,747,748,707
690,707,748,749,708
691,708,749,750,709
692,709,750,751,710
693,710,751,752,711
694,711,752,753,712
695,712,753,754,713
696,713,754,755,714
697,714,755,756,715
698,715,756,757,716
699,716,757,758,717
700,717,758,759,718
701,718,759,760,719
702,719,760,761,720
703,720,761,762,721
704,721,762,763,722
705,722,763,764,723
706,723,764,765,724
707,724,765,766,725
708,725,766,767,726
709,726,767,768,727
710,727,768,769,728
711,728,769,770,729
712,729,770,771,730
713,730,771,772,731
714,731,772,773,732
715,732,773,774,733
716,733,774,775,734
717,734,775,776,735
718,735,776,777,736
719,736,777,778,737
720,738,779,780,739
721,739,780,781,740
722,740,781,782,741
723,741,782,783,742
724,742,783,784,743
725,743,784,785,744
726,744,785,786,745
727,745,786,787,746
728,746,787,788,747
729,747,788,789,748
730,748,789,790,749
731,749,790,791,750
732,750,791,792,751
733,751,792,793,752
734,752,793,794,753
735,753,794,795,754
736,754,795,796,755
737,755,796,797,756
738,756,797,798,757
739,757,798,799,758
740,758,799,800,759
741,759,800,801,760
742,760,801,802,761
743,761,802,803,762
744,762,803,804,763
745,763,804,805,764
746,764,805,806,765
747,765,806,807,766
748,766,807,808,767
749,767,808,809,768
750,768,809,810,769
751,769,810,811,770
752,770,811,812,771
753,771,812,813,772
754,772,813,814,773
755,773,814,815,774
756,774,815,816,775
757,775,816,817,776
758,776,817,818,777
759,777,818,819,778
760,779,820,821,780
761,780,821,822,781
762,781,822,823,782
763,782,823,824,783
764,783,824,825,784
765,784,825,826,785
766,785,826,827,786
767,786,827,828,787
768,787,828,829,788
769,788,829,830,789
770,789,830,831,790
771,790,831,832,791
772,791,832,833,792
773,792,833,834,793
774,793,834,835,794
775,794,835,836,795
776,795,836,837,796
777,796,837,838,797
778,797,838,839,798
779,798,839,840,799
780,799,840,841,800
781,800,841,842,801
782,801,842,843,802
783,802,843,844,803
784,803,844,845,804
785,804,845,846,805
786,805,846,847,806
787,806,847,848,807
788,807,848,849,808
789,808,849,850,809
790,809,850,851,810
791,810,851,852,811
792,811,852,853,812
793,812,853,854,813
794,813,854,855,814
795,814,855,856,815
796,815,856,857,816
797,816,857,858,817
798,817,858,859,818
799,818,859,860,819
800,820,861,862,821
801,821,862,863,822
802,822,863,864,823
803,823,864,865,824
804,824,865,866,825
805,825,866,867,826
806,826,867,868,827
807,827,868,869,828
808,828,869,870,829
809,829,870,871,830
810,830,871,872,831
811,831,872,873,832
812,832,873,874,833
813,833,874,875,834
814,834,875,876,835
815,835,876,877,836
816,836,877,878,837
817,837,878,879,838
818,838,879,880,839
819,839,880,881,840
820,840,881,882,841
821,841,882,883,842
822,842,883,884,843
823,843,884,885,844
824,844,885,886,845
825,845,886,887,846
826,846,887,888,847
827,847,888,889,848
828,848,889,890,849
829,849,890,891,850
830,850,891,892,851
831,851,892,893,852
832,852,893,894,853
833,853,894,895,854
834,854,895,896,855
835,855,896,897,856
836,856,897,898,857
837,857,898,899,858
838,858,899,900,859
839,859,900,901,860
840,861,902,903,862
841,862,903,904,863
842,863,904,905,864
843,864,905,906,865
844,865,906,907,866
845,866,907,908,867
846,867,908,909,868
847,868,909,910,869
848,869,910,911,870
849,870,911,912,871
850,871,912,913,872
851,872,913,914,873
852,873,914,915,874
853,874,915,916,875
854,875,916,917,876
855,876,917,918,877
856,877,918,919,878
857,878,919,920,879
858,879,920,921,880
859,880,921,922,881
860,881,922,923,882
861,882,923,924,883
862,883,924,925,884
863,884,925,926,885
864,885,926,927,886
865,886,927,928,887
866,887,928,929,888
867,888,929,930,889
868,889,930,931,890
869,890,931,932,891
870,891,932,933,892
871,892,933,934,893
872,893,934,935,894
873,894,935,936,895
874,895,936,937,896
875,896,937,938,897
876,897,938,939,898
877,898,939,940,899
878,899,940,941,900
879,900,941,942,901
880,902,943,944,903
881,903,944,945,904
882,904,945,946,905
883,905,946,947,906
884,906,947,948,907
885,907,948,949,908
886,908,949,950,909
887,909,950,951,910
888,910,951,952,911
889,911,952,953,912
890,912,953,954,913
891,913,954,955,914
892,914,955,956,915
893,915,956,957,916
894,916,957,958,917
895,917,958,959,918
896,918,959,960,919
897,919,960,961,920
898,920,961,962,921
899,921,962,963,922
900,922,963,964,923
901,923,964,965,924
902,924,965,966,925
903,925,966,967,926
904,926,967,968,927
905,927,968,969,928
906,928,969,970,929
907,929,970,971,930
908,930,971,972,931
909,931,972,973,932
910,932,973,974,933
911,933,974,975,934
912,934,975,976,935
913,935,976,977,936
914,936,977,978,937
915,937,978,979,938
916,938,979,980,939
917,939,980,981,940
918,940,981,982,941
919,941,982,983,942
920,943,984,985,944
921,944,985,986,945
922,945,986,987,946
923,946,987,988,947
924,947,988,989,948
925,948,989,990,949
926,949,990,991,950
927,950,991,992,951
928,951,992,993,952
929,952,993,994,953
930,953,994,995,954
931,954,995,996,955
932,955,996,997,956
933,956,997,998,957
934,957,998,999,958
935,958,999,1000,959
936,959,1000,1001,960
937,960,1001,1002,961
938,961,1002,1003,962
939,962,1003,1004,963
940,963,1004,1005,964
941,964,1005,1006,965
942,965,1006,1007,966
943,966,1007,1008,967
944,967,1008,1009,968
945,968,1009,1010,969
946,969,1010,1011,970
947,970,1011,1012,971
948,971,1012,1013,972
949,972,1013,1014,973
950,973,1014,1015,974
951,974,1015,1016,975
952,975,1016,1017,976
953,976,1017,1018,977
954,977,1018,1019,978
955,978,1019,1020,979
956,979,1020,1021,980
957,980,1021,1022,981
958,981,1022,1023,982
959,982,1023,1024,983
960,984,1025,1026,985
961,985,1026,1027,986
962,986,1027,1028,987
963,987,1028,1029,988
964,988,1029,1030,989
965,989,1030,1031,990
966,990,1031,1032,991
967,991,1032,1033,992
968,992,1033,1034,993
969,993,1034,1035,994
970,994,1035,1036,995
971,995,1036,1037,996
972,996,1037,1038,997
973,997,1038,1039,998
974,998,1039,1040,999
975,999,1040,1041,1000
976,1000,1041,1042,1001
977,1001,1042,1043,1002
978,1002,1043,1044,1003
979,1003,1044,1045,1004
980,1004,1045,1046,1005
981,1005,1046,1047,1006
982,1006,1047,1048,1007
983,1007,1048,1049,1008
984,1008,1049,1050,1009
985,1009,1050,1051,1010
986,1010,1051,1052,1011
987,1011,1052,1053,1012
988,1012,1053,1054,1013
989,1013,1054,1055,1014
990,1014,1055,1056,1015
991,1015,1056,1057,1016
992,1016,1057,1058,1017
993,1017,1058,1059,1018
994,1018,1059,1060,1019
995,1019,1060,1061,1020
996,1020,1061,1062,1021
997,1021,1062,1063,1022
998,1022,1063,1064,1023
999,1023,1064,1065,1024
1000,1025,1066,1067,1026
1001,1026,1067,1068,1027
1002,1027,1068,1069,1028
1003,1028,1069,1070,1029
1004,1029,1070,1071,1030
1005,1030,1071,1072,1031
1006,1031,1072,1073,1032
1007,1032,1073,1074,1033
1008,1033,1074,1075,1034
1009,1034,1075,1076,1035
1010,1035,1076,1077,1036
1011,1036,1077,1078,1037
1012,1037,1078,1079,1038
1013,1038,1079,1080,1039
1014,1039,1080,1081,1040
1015,1040,1081,1082,1041
1016,1041,1082,1083,1042
1017,1042,1083,1084,1043
1018,1043,1084,1085,1044
1019,1044,1085,1086,1045
1020,1045,1086,1087,1046
1021,1046,1087,1088,1047
1022,1047,1088,1089,1048
1023,1048,1089,1090,1049
1024,1049,1090,1091,1050
1025,1050,1091,1092,1051
1026,1051,1092,1093,1052
1027,1052,1093,1094,1053
1028,1053,1094,1095,1054
1029,1054,1095,1096,1055
1030,1055,1096,1097,1056
1031,1056,1097,1098,1057
1032,1057,1098,1099,1058
1033,1058,1099,1100,1059
1034,1059,1100,1101,1060
1035,1060,1101,1102,1061
1036,1061,1102,1103,1062
1037,1062,1103,1104,1063
1038,1063,1104,1105,1064
1039,1064,1105,1106,1065
1040,1066,1107,1108,1067
1041,1067,1108,1109,1068
1042,1068,1109,1110,1069
1043,1069,1110,1111,1070
1044,1070,1111,1112,1071
1045,1071,1112,1113,1072
1046,1072,1113,1114,1073
1047,1073,1114,1115,1074
1048,1074,1115,1116,1075
1049,1075,1116,1117,1076
1050,1076,1117,1118,1077
1051,1077,1118,1119,1078
1052,1078,1119,1120,1079
1053,1079,1120,1121,1080
1054,1080,1121,1122,1081
1055,1081,1122,1123,1082
1056,1082,1123,1124,1083
1057,1083,1124,1125,1084
1058,1084,1125,1126,1085
1059,1085,1126,1127,1086
1060,1086,1127,1128,1087
1061,1087,1128,1129,1088
1062,1088,1129,1130,1089
1063,1089,1130,1131,1090
1064,1090,1131,1132,1091
1065,1091,1132,1133,1092
1066,1092,1133,1134,1093
1067,1093,1134,1135,1094
1068,1094,1135,1136,1095
1069,1095,1136,1137,1096
1070,1096,1137,1138,1097
1071,1097,1138,1139,1098
1072,1098,1139,1140,1099
1073,1099,1140,1141,1100
1074,1100,1141,1142,1101
1075,1101,1142,1143,1102
1076,1102,1143,1144,1103
1077,1103,1144,1145,1104
1078,1104,1145,1146,1105
1079,1105,1146,1147,1106
1080,1107,1148,1149,1108
1081,1108,1149,1150,1109
1082,1109,1150,1151,1110
1083,1110,1151,1152,1111
1084,1111,1152,1153,1112
1085,1112,1153,1154,1113
1086,1113,1154,1155,1114
1087,1114,1155,1156,1115
1088,1115,1156,1157,1116
1089,1116,1157,1158,1117
1090,1117,1158,1159,1118
1091,1118,1159,1160,1119
1092,1119,1160,1161,1120
1093,1120,1161,1162,1121
1094,1121,1162,1163,1122
1095,1122,1163,1164,1123
1096,1123,1164,1165,1124
1097,1124,1165,1166,1125
1098,1125,1166,1167,1126
1099,1126,1167,1168,1127
1100,1127,1168,1169,1128
1101,1128,1169,1170,1129
1102,1129,1170,1171,1130
1103,1130,1171,1172,1131
1104,1131,1172,1173,1132
1105,1132,1173,1174,1133
1106,1133,1174,1175,1134
1107,1134,1175,1176,1135
1108,1135,1176,1177,1136
1109,1136,1177,1178,1137
1110,1137,1178,1179,1138
1111,1138,1179,1180,1139
1112,1139,1180,1181,1140
1113,1140,1181,1182,1141
1114,1141,1182,1183,1142
1115,1142,1183,1184,1143
1116,1143,1184,1185,1144
1117,1144,1185,1186,1145
1118,1145,1186,1187,1146
1119,1146,1187,1188,1147
1120,1148,1189,1190,1149
1121,1149,1190,1191,1150
1122,1150,1191,1192,1151
1123,1151,1192,1193,1152
1124,1152,1193,1194,1153
1125,1153,1194,1195,1154
1126,1154,1195,1196,1155
1127,1155,1196,1197,1156
1128,1156,1197,1198,1157
1129,1157,1198,1199,1158
1130,1158,1199,1200,1159
1131,1159,1200,1201,1160
1132,1160,1201,1202,1161
1133,1161,1202,1203,1162
1134,1162,1203,1204,1163
1135,1163,1204,1205,1164
1136,1164,1205,1206,1165
1137,1165,1206,1207,1166
1138,1166,1207,1208,1167
1139,1167,1208,1209,1168
1140,1168,1209,1210,1169
1141,1169,1210,1211,1170
1142,1170,1211,1212,1171
1143,1171,1212,1213,1172
1144,1172,1213,1214,1173
1145,1173,1214,1215,1174
1146,1174,1215,1216,1175
1147,1175,1216,1217,1176
1148,1176,1217,1218,1177
1149,1177,1218,1219,1178
1150,1178,1219,1220,1179
1151,1179,1220,1221,1180
1152,1180,1221,1222,1181
1153,1181,1222,1223,1182
1154,1182,1223,1224,1183
1155,1183,1224,1225,1184
1156,1184,1225,1226,1185
1157,1185,1226,1227,1186
1158,1186,1227,1228,1187
1159,1187,1228,1229,1188
1160,1189,1230,1231,1190
1161,1190,1231,1232,1191
1162,1191,1232,1233,1192
1163,1192,1233,1234,1193
1164,1193,1234,1235,1194
1165,1194,1235,1236,1195
1166,1195,1236,1237,1196
1167,1196,1237,1238,1197
1168,1197,1238,1239,1198
1169,1198,1239,1240,1199
1170,1199,1240,1241,1200
1171,1200,1241,1242,1201
1172,1201,1242,1243,1202
1173,1202,1243,1244,1203
1174,1203,1244,1245,1204
1175,1204,1245,1246,1205
1176,1205,1246,1247,1206
1177,1206,1247,1248,1207
1178,1207,1248,1249,1208
1179,1208,1249,1250,1209
1180,1209,1250,1251,1210
1181,1210,1251,1252,1211
1182,1211,1252,1253,1212
1183,1212,1253,1254,1213
1184,1213,1254,1255,1214
1185,1214,1255,1256,1215
1186,1215,1256,1257,1216
1187,1216,1257,1258,1217
1188,1217,1258,1259,1218
1189,1218,1259,1260,1219
1190,1219,1260,1261,1220
1191,1220,1261,1262,1221
1192,1221,1262,1263,1222
1193,1222,1263,1264,1223
1194,1223,1264,1265,1224
1195,1224,1265,1266,1225
1196,1225,1266,1267,1226
1197,1226,1267,1268,1227
1198,1227,1268,1269,1228
1199,1228,1269,1270,1229
1200,1230,1271,1272,1231
1201,1231,1272,1273,1232
1202,1232,1273,1274,1233
1203,1233,1274,1275,1234
1204,1234,1275,1276,1235
1205,1235,1276,1277,1236
1206,1236,1277,1278,1237
1207,1237,1278,1279,1238
1208,1238,1279,1280,1239
1209,1239,1280,1281,1240
1210,1240,1281,1282,1241
1211,1241,1282,1283,1242
1212,1242,1283,1284,1243
1213,1243,1284,1285,1244
1214,1244,1285,1286,1245
1215,1245,1286,1287,1246
1216,1246,1287,1288,1247
1217,1247,1288,1289,1248
1218,1248,1289,1290,1249
1219,1249,1290,1291,1250
1220,1250,1291,1292,1251
1221,1251,1292,1293,1252
1222,1252,1293,1294,1253
1223,1253,1294,1295,1254
1224,1254,1295,1296,1255
1225,1255,1296,1297,1256
1226,1256,1297,1298,1257
1227,1257,1298,1299,1258
1228,1258,1299,1300,1259
1229,1259,1300,1301,1260
1230,1260,1301,1302,1261
1231,1261,1302,1303,1262
1232,1262,1303,1304,1263
1233,1263,1304,1305,1264
1234,1264,1305,1306,1265
1235,1265,1306,1307,1266
1236,1266,1307,1308,1267
1237,1267,1308,1309,1268
1238,1268,1309,1310,1269
1239,1269,1310,1311,1270
1240,1271,1312,1313,1272
1241,1272,1313,1314,1273
1242,1273,1314,1315,1274
1243,1274,1315,1316,1275
1244,1275,1316,1317,1276
1245,1276,1317,1318,1277
1246,1277,1318,1319,1278
1247,1278,1319,1320,1279
1248,1279,1320,1321,1280
1249,1280,1321,1322,1281
1250,1281,1322,1323,1282
1251,1282,1323,1324,1283
