ID,x0,x1,x2
172,17.5,37.5,0
173,20,37.5,0
174,22.5,37.5,0
175,25,37.5,0
176,0,40,0
177,2.5,40,0
178,5,40,0
179,7.5,40,0
180,10,40,0
181,12.5,40,0
182,15,40,0
183,17.5,40,0
184,20,40,0
185,22.5,40,0
186,25,40,0
187,0,42.5,0
188,2.5,42.5,0
189,5,42.5,0
190,7.5,42.5,0
191,10,42.5,0
192,12.5,42.5,0
193,15,42.5,0
194,17.5,42.5,0
195,20,42.5,0
196,22.5,42.5,0
197,25,42.5,0
198,0,45,0
199,2.5,45,0
200,5,45,0
201,7.5,45,0
202,10,45,0
203,12.5,45,0
204,15,45,0
205,17.5,45,0
206,20,45,0
207,22.5,45,0
208,25,45,0
209,0,47.5,0
210,2.5,47.5,0
211,5,47.5,0
212,7.5,47.5,0
213,10,47.5,0
214,12.5,47.5,0
215,15,47.5,0
216,17.5,47.5,0
217,20,47.5,0
218,22.5,47.5,0
219,25,47.5,0
220,0,50,0
221,2.5,50,0
222,5,50,0
223,7.5,50,0
224,10,50,0
225,12.5,50,0
226,15,50,0
227,17.5,50,0
228,20,50,0
229,22.5,50,0
230,25,50,0
231,0,52.5,0
232,2.5,52.5,0
233,5,52.5,0
234,7.5,52.5,0
235,10,52.5,0
236,12.5,52.5,0
237,15,52.5,0
238,17.5,52.5,0
239,20,52.5,0
240,22.5,52.5,0
241,25,52.5,0
242,0,55,0
243,2.5,55,0
244,5,55,0
245,7.5,55,0
246,10,55,0
247,12.5,55,0
248,15,55,0
249,17.5,55,0
250,20,55,0
251,22.5,55,0
252,25,55,0
253,0,57.5,0
254,2.5,57.5,0
255,5,57.5,0
256,7.5,57.5,0
257,10,57.5,0
258,12.5,57.5,0
259,15,57.5,0
260,17.5,57.5,0
261,20,57.5,0
262,22.5,57.5,0
263,25,57.5,0
264,0,60,0
265,2.5,60,0
266,5,60,0
267,7.5,60,0
268,10,60,0
269,12.5,60,0
270,15,60,0
271,17.5,60,0
272,20,60,0
273,22.5,60,0
274,25,60,0
275,0,62.5,0
276,2.5,62.5,0
277,5,62.5,0
278,7.5,62.5,0
279,10,62.5,0
280,12.5,62.5,0
281,15,62.5,0
282,17.5,62.5,0
283,20,62.5,0
284,22.5,62.5,0
285,25,62.5,0
286,0,0,2.5
287,2.5,0,2.5
288,5,0,2.5
289,7.5,0,2.5
290,10,0,2.5
291,12.5,0,2.5
292,15,0,2.5
293,17.5,0,2.5
294,20,0,2.5
295,22.5,0,2.5
296,25,0,2.5
297,0,2.5,2.5
298,2.5,2.5,2.5
299,5,2.5,2.5
300,7.5,2.5,2.5
301,10,2.5,2.5
302,12.5,2.5,2.5
303,15,2.5,2.5
304,17.5,2.5,2.5
305,20,2.5,2.5
306,22.5,2.5,2.5
307,25,2.5,2.5
308,0,5,2.5
309,2.5,5,2.5
310,5,5,2.5
311,7.5,5,2.5
312,10,5,2.5
313,12.5,5,2.5
314,15,5,2.5
315,17.5,5,2.5
316,20,5,2.5
317,22.5,5,2.5
318,25,5,2.5
319,0,7.5,2.5
320,2.5,7.5,2.5
321,5,7.5,2.5
322,7.5,7.5,2.5
323,10,7.5,2.5
324,12.5,7.5,2.5
325,15,7.5,2.5
326,17.5,7.5,2.5
327,20,7.5,2.5
328,22.5,7.5,2.5
329,25,7.5,2.5
330,0,10,2.5
331,2.5,10,2.5
332,5,10,2.5
333,7.5,10,2.5
334,10,10,2.5
335,12.5,10,2.5
336,15,10,2.5
337,17.5,10,2.5
338,20,10,2.5
339,22.5,10,2.5
340,25,10,2.5
341,0,12.5,2.5
342,2.5,12.5,2.5
343,5,12.5,2.5
344,7.5,12.5,2.5
345,10,12.5,2.5
346,12.5,12.5,2.5
347,15,12.5,2.5
348,17.5,12.5,2.5
349,20,12.5,2.5
350,22.5,12.5,2.5
351,25,12.5,2.5
352,0,15,2.5
353,2.5,15,2.5
354,5,15,2.5
355,7.5,15,2.5
356,10,15,2.5
357,12.5,15,2.5
358,15,15,2.5
359,17.5,15,2.5
360,20,15,2.5
361,22.5,15,2.5
362,25,15,2.5
363,0,17.5,2.5
364,2.5,17.5,2.5
365,5,17.5,2.5
366,7.5,17.5,2.5
367,10,17.5,2.5
368,12.5,17.5,2.5
369,15,17.5,2.5
370,17.5,17.5,2.5
371,20,17.5,2.5
372,22.5,17.5,2.5
373,25,17.5,2.5
374,0,20,2.5
375,2.5,20,2.5
376,5,20,2.5
377,7.5,20,2.5
378,10,20,2.5
379,12.5,20,2.5
380,15,20,2.5
381,17.5,20,2.5
382,20,20,2.5
383,22.5,20,2.5
384,25,20,2.5
385,0,22.5,2.5
386,2.5,22.5,2.5
387,5,22.5,2.5
388,7.5,22.5,2.5
389,10,22.5,2.5
390,12.5,22.5,2.5
391,15,22.5,2.5
392,17.5,22.5,2.5
393,20,22.5,2.5
394,22.5,22.5,2.5
395,25,22.5,2.5
396,0,25,2.5
397,2.5,25,2.5
398,5,25,2.5
399,7.5,25,2.5
400,10,25,2.5
401,12.5,25,2.5
402,15,25,2.5
403,17.5,25,2.5
404,20,25,2.5
405,22.5,25,2.5
406,25,25,2.5
407,0,27.5,2.5
408,2.5,27.5,2.5
409,5,27.5,2.5
410,7.5,27.5,2.5
411,10,27.5,2.5
412,12.5,27.5,2.5
413,15,27.5,2.5
414,17.5,27.5,2.5
415,20,27.5,2.5
416,22.5,27.5,2.5
417,25,27.5,2.5
418,0,30,2.5
419,2.5,30,2.5
420,5,30,2.5
421,7.5,30,2.5
422,10,30,2.5
423,12.5,30,2.5
424,15,30,2.5
425,17.5,30,2.5
426,20,30,2.5
427,22.5,30,2.5
428,25,30,2.5
429,0,32.5,2.5
430,2.5,32.5,2.5
431,5,32.5,2.5
432,7.5,32.5,2.5
433,10,32.5,2.5
434,12.5,32.5,2.5
435,15,32.5,2.5
436,17.5,32.5,2.5
437,20,32.5,2.5
438,22.5,32.5,2.5
439,25,32.5,2.5
440,0,35,2.5
441,2.5,35,2.5
442,5,35,2.5
443,7.5,35,2.5
444,10,35,2.5
445,12.5,35,2.5
446,15,35,2.5
447,17.5,35,2.5
448,20,35,2.5
449,22.5,35,2.5
450,25,35,2.5
451,0,37.5,2.5
452,2.5,37.5,2.5
453,5,37.5,2.5
454,7.5,37.5,2.5
455,10,37.5,2.5
456,12.5,37.5,2.5
457,15,37.5,2.5
458,17.5,37.5,2.5
459,20,37.5,2.5
460,22.5,37.5,2.5
461,25,37.5,2.5
462,0,40,2.5
463,2.5,40,2.5
464,5,40,2.5
465,7.5,40,2.5
466,10,40,2.5
467,12.5,40,2.5
468,15,40,2.5
469,17.5,40,2.5
470,20,40,2.5
471,22.5,40,2.5
472,25,40,2.5
473,0,42.5,2.5
474,2.5,42.5,2.5
475,5,42.5,2.5
476,7.5,42.5,2.5
477,10,42.5,2.5
478,12.5,42.5,2.5
479,15,42.5,2.5
480,17.5,42.5,2.5
481,20,42.5,2.5
482,22.5,42.5,2.5
483,25,42.5,2.5
484,0,45,2.5
485,2.5,45,2.5
486,5,45,2.5
487,7.5,45,2.5
488,10,45,2.5
489,12.5,45,2.5
490,15,45,2.5
491,17.5,45,2.5
492,20,45,2.5
493,22.5,45,2.5
494,25,45,2.5
495,0,47.5,2.5
496,2.5,47.5,2.5
497,5,47.5,2.5
498,7.5,47.5,2.5
499,10,47.5,2.5
500,12.5,47.5,2.5
501,15,47.5,2.5
502,17.5,47.5,2.5
503,20,47.5,2.5
504,22.5,47.5,2.5
505,25,47.5,2.5
506,0,50,2.5
507,2.5,50,2.5
508,5,50,2.5
509,7.5,50,2.5
510,10,50,2.5
511,12.5,50,2.5
512,15,50,2.5
513,17.5,50,2.5
514,20,50,2.5
515,22.5,50,2.5
516,25,50,2.5
517,0,52.5,2.5
518,2.5,52.5,2.5
519,5,52.5,2.5
520,7.5,52.5,2.5
521,10,52.5,2.5
522,12.5,52.5,2.5
523,15,52.5,2.5
524,17.5,52.5,2.5
525,20,52.5,2.5
526,22.5,52.5,2.5
527,25,52.5,2.5
528,0,55,2.5
529,2.5,55,2.5
530,5,55,2.5
531,7.5,55,2.5
532,10,55,2.5
533,12.5,55,2.5
534,15,55,2.5
535,17.5,55,2.5
536,20,55,2.5
537,22.5,55,2.5
538,25,55,2.5
539,0,57.5,2.5
540,2.5,57.5,2.5
541,5,57.5,2.5
542,7.5,57.5,2.5
543,10,57.5,2.5
544,12.5,57.5,2.5
545,15,57.5,2.5
546,17.5,57.5,2.5
547,20,57.5,2.5
548,22.5,57.5,2.5
549,25,57.5,2.5
550,0,60,2.5
551,2.5,60,2.5
552,5,60,2.5
553,7.5,60,2.5
554,10,60,2.5
555,12.5,60,2.5
556,15,60,2.5
557,17.5,60,2.5
558,20,60,2.5
559,22.5,60,2.5
560,25,60,2.5
561,0,62.5,2.5
562,2.5,62.5,2.5
563,5,62.5,2.5
564,7.5,62.5,2.5
565,10,62.5,2.5
566,12.5,62.5,2.5
567,15,62.5,2.5
568,17.5,62.5,2.5
569,20,62.5,2.5
570,22.5,62.5,2.5
571,25,62.5,2.5
572,0,0,5
573,2.5,0,5
574,5,0,5
575,7.5,0,5
576,10,0,5
577,12.5,0,5
578,15,0,5
579,17.5,0,5
580,20,0,5
581,22.5,0,5
582,25,0,5
583,0,2.5,5
584,2.5,2.5,5
585,5,2.5,5
586,7.5,2.5,5
587,10,2.5,5
588,12.5,2.5,5
589,15,2.5,5
590,17.5,2.5,5
591,20,2.5,5
592,22.5,2.5,5
593,25,2.5,5
594,0,5,5
595,2.5,5,5
596,5,5,5
597,7.5,5,5
598,10,5,5
599,12.5,5,5
600,15,5,5
601,17.5,5,5
602,20,5,5
603,22.5,5,5
604,25,5,5
605,0,7.5,5
606,2.5,7.5,5
607,5,7.5,5
608,7.5,7.5,5
609,10,7.5,5
610,12.5,7.5,5
611,15,7.5,5
612,17.5,7.5,5
613,20,7.5,5
614,22.5,7.5,5
615,25,7.5,5
616,0,10,5
617,2.5,10,5
618,5,10,5
619,7.5,10,5
620,10,10,5
621,12.5,10,5
622,15,10,5
623,17.5,10,5
624,20,10,5
625,22.5,10,5
626,25,10,5
627,0,12.5,5
628,2.5,12.5,5
629,5,12.5,5
630,7.5,12.5,5
631,10,12.5,5
632,12.5,12.5,5
633,15,12.5,5
634,17.5,12.5,5
635,20,12.5,5
636,22.5,12.5,5
637,25,12.5,5
638,0,15,5
639,2.5,15,5
640,5,15,5
641,7.5,15,5
642,10,15,5
643,12.5,15,5
644,15,15,5
645,17.5,15,5
646,20,15,5
647,22.5,15,5
648,25,15,5
649,0,17.5,5
650,2.5,17.5,5
651,5,17.5,5
652,7.5,17.5,5
653,10,17.5,5
654,12.5,17.5,5
655,15,17.5,5
656,17.5,17.5,5
657,20,17.5,5
658,22.5,17.5,5
659,25,17.5,5
660,0,20,5
661,2.5,20,5
662,5,20,5
663,7.5,20,5
664,10,20,5
665,12.5,20,5
666,15,20,5
667,17.5,20,5
668,20,20,5
669,22.5,20,5
670,25,20,5
671,0,22.5,5
672,2.5,22.5,5
673,5,22.5,5
674,7.5,22.5,5
675,10,22.5,5
676,12.5,22.5,5
677,15,22.5,5
678,17.5,22.5,5
679,20,22.5,5
680,22.5,22.5,5
681,25,22.5,5
682,0,25,5
683,2.5,25,5
684,5,25,5
685,7.5,25,5
686,10,25,5
687,12.5,25,5
688,15,25,5
689,17.5,25,5
690,20,25,5
691,22.5,25,5
692,25,25,5
693,0,27.5,5
694,2.5,27.5,5
695,5,27.5,5
696,7.5,27.5,5
697,10,27.5,5
698,12.5,27.5,5
699,15,27.5,5
700,17.5,27.5,5
701,20,27.5,5
702,22.5,27.5,5
703,25,27.5,5
704,0,30,5
705,2.5,30,5
706,5,30,5
707,7.5,30,5
708,10,30,5
709,12.5,30,5
710,15,30,5
711,17.5,30,5
712,20,30,5
713,22.5,30,5
714,25,30,5
715,0,32.5,5
716,2.5,32.5,5
717,5,32.5,5
718,7.5,32.5,5
719,10,32.5,5
720,12.5,32.5,5
721,15,32.5,5
722,17.5,32.5,5
723,20,32.5,5
724,22.5,32.5,5
725,25,32.5,5
726,0,35,5
727,2.5,35,5
728,5,35,5
729,7.5,35,5
730,10,35,5
731,12.5,35,5
732,15,35,5
733,17.5,35,5
734,20,35,5
735,22.5,35,5
736,25,35,5
737,0,37.5,5
738,2.5,37.5,5
739,5,37.5,5
740,7.5,37.5,5
741,10,37.5,5
742,12.5,37.5,5
743,15,37.5,5
744,17.5,37.5,5
745,20,37.5,5
746,22.5,37.5,5
747,25,37.5,5
748,0,40,5
749,2.5,40,5
750,5,40,5
751,7.5,40,5
752,10,40,5
753,12.5,40,5
754,15,40,5
755,17.5,40,5
756,20,40,5
757,22.5,40,5
758,25,40,5
759,0,42.5,5
760,2.5,42.5,5
761,5,42.5,5
762,7.5,42.5,5
763,10,42.5,5
764,12.5,42.5,5
765,15,42.5,5
766,17.5,42.5,5
767,20,42.5,5
768,22.5,42.5,5
769,25,42.5,5
770,0,45,5
771,2.5,45,5
772,5,45,5
773,7.5,45,5
774,10,45,5
775,12.5,45,5
776,15,45,5
777,17.5,45,5
778,20,45,5
779,22.5,45,5
780,25,45,5
781,0,47.5,5
782,2.5,47.5,5
783,5,47.5,5
784,7.5,47.5,5
785,10,47.5,5
786,12.5,47.5,5
787,15,47.5,5
788,17.5,47.5,5
789,20,47.5,5
790,22.5,47.5,5
791,25,47.5,5
792,0,50,5
793,2.5,50,5
794,5,50,5
795,7.5,50,5
796,10,50,5
797,12.5,50,5
798,15,50,5
799,17.5,50,5
800,20,50,5
801,22.5,50,5
802,25,50,5
803,0,52.5,5
804,2.5,52.5,5
805,5,52.5,5
806,7.5,52.5,5
807,10,52.5,5
808,12.5,52.5,5
809,15,52.5,5
810,17.5,52.5,5
811,20,52.5,5
812,22.5,52.5,5
813,25,52.5,5
814,0,55,5
815,2.5,55,5
816,5,55,5
817,7.5,55,5
818,10,55,5
819,12.5,55,5
820,15,55,5
821,17.5,55,5
822,20,55,5
823,22.5,55,5
824,25,55,5
825,0,57.5,5
826,2.5,57.5,5
827,5,57.5,5
828,7.5,57.5,5
829,10,57.5,5
830,12.5,57.5,5
831,15,57.5,5
832,17.5,57.5,5
833,20,57.5,5
834,22.5,57.5,5
835,25,57.5,5
836,0,60,5
837,2.5,60,5
838,5,60,5
839,7.5,60,5
840,10,60,5
841,12.5,60,5
842,15,60,5
843,17.5,60,5
844,20,60,5
845,22.5,60,5
846,25,60,5
847,0,62.5,5
848,2.5,62.5,5
849,5,62.5,5
850,7.5,62.5,5
851,10,62.5,5
852,12.5,62.5,5
853,15,62.5,5
854,17.5,62.5,5
855,20,62.5,5
856,22.5,62.5,5
857,25,62.5,5
858,0,0,7.5
859,2.5,0,7.5
860,5,0,7.5
861,7.5,0,7.5
862,10,0,7.5
863,12.5,0,7.5
864,15,0,7.5
865,17.5,0,7.5
866,20,0,7.5
867,22.5,0,7.5
868,25,0,7.5
869,0,2.5,7.5
870,2.5,2.5,7.5
871,5,2.5,7.5
872,7.5,2.5,7.5
873,10,2.5,7.5
874,12.5,2.5,7.5
875,15,2.5,7.5
876,17.5,2.5,7.5
877,20,2.5,7.5
878,22.5,2.5,7.5
879,25,2.5,7.5
880,0,5,7.5
881,2.5,5,7.5
882,5,5,7.5
883,7.5,5,7.5
884,10,5,7.5
885,12.5,5,7.5
886,15,5,7.5
887,17.5,5,7.5
888,20,5,7.5
889,22.5,5,7.5
890,25,5,7.5
891,0,7.5,7.5
892,2.5,7.5,7.5
893,5,7.5,7.5
894,7.5,7.5,7.5
895,10,7.5,7.5
896,12.5,7.5,7.5
897,15,7.5,7.5
898,17.5,7.5,7.5
899,20,7.5,7.5
900,22.5,7.5,7.5
901,25,7.5,7.5
902,0,10,7.5
903,2.5,10,7.5
904,5,10,7.5
905,7.5,10,7.5
906,10,10,7.5
907,12.5,10,7.5
908,15,10,7.5
909,17.5,10,7.5
910,20,10,7.5
911,22.5,10,7.5
912,25,10,7.5
913,0,12.5,7.5
914,2.5,12.5,7.5
915,5,12.5,7.5
916,7.5,12.5,7.5
917,10,12.5,7.5
918,12.5,12.5,7.5
919,15,12.5,7.5
920,17.5,12.5,7.5
921,20,12.5,7.5
922,22.5,12.5,7.5
923,25,12.5,7.5
924,0,15,7.5
925,2.5,15,7.5
926,5,15,7.5
927,7.5,15,7.5
928,10,15,7.5
929,12.5,15,7.5
930,15,15,7.5
931,17.5,15,7.5
932,20,15,7.5
933,22.5,15,7.5
934,25,15,7.5
935,0,17.5,7.5
936,2.5,17.5,7.5
937,5,17.5,7.5
938,7.5,17.5,7.5
939,10,17.5,7.5
940,12.5,17.5,7.5
941,15,17.5,7.5
942,17.5,17.5,7.5
943,20,17.5,7.5
944,22.5,17.5,7.5
945,25,17.5,7.5
946,0,20,7.5
947,2.5,20,7.5
948,5,20,7.5
949,7.5,20,7.5
950,10,20,7.5
951,12.5,20,7.5
952,15,20,7.5
953,17.5,20,7.5
954,20,20,7.5
955,22.5,20,7.5
956,25,20,7.5
957,0,22.5,7.5
958,2.5,22.5,7.5
959,5,22.5,7.5
960,7.5,22.5,7.5
961,10,22.5,7.5
962,12.5,22.5,7.5
963,15,22.5,7.5
964,17.5,22.5,7.5
965,20,22.5,7.5
966,22.5,22.5,7.5
967,25,22.5,7.5
968,0,25,7.5
969,2.5,25,7.5
970,5,25,7.5
971,7.5,25,7.5
972,10,25,7.5
973,12.5,25,7.5
974,15,25,7.5
975,17.5,25,7.5
976,20,25,7.5
977,22.5,25,7.5
978,25,25,7.5
979,0,27.5,7.5
980,2.5,27.5,7.5
981,5,27.5,7.5
982,7.5,27.5,7.5
983,10,27.5,7.5
984,12.5,27.5,7.5
985,15,27.5,7.5
986,17.5,27.5,7.5
987,20,27.5,7.5
988,22.5,27.5,7.5
989,25,27.5,7.5
990,0,30,7.5
991,2.5,30,7.5
992,5,30,7.5
993,7.5,30,7.5
994,10,30,7.5
995,12.5,30,7.5
996,15,30,7.5
997,17.5,30,7.5
998,20,30,7.5
999,22.5,30,7.5
1000,25,30,7.5
1001,0,32.5,7.5
1002,2.5,32.5,7.5
1003,5,32.5,7.5
1004,7.5,32.5,7.5
1005,10,32.5,7.5
1006,12.5,32.5,7.5
1007,15,32.5,7.5
1008,17.5,32.5,7.5
1009,20,32.5,7.5
1010,22.5,32.5,7.5
1011,25,32.5,7.5
1012,0,35,7.5
1013,2.5,35,7.5
1014,5,35,7.5
1015,7.5,35,7.5
1016,10,35,7.5
1017,12.5,35,7.5
1018,15,35,7.5
1019,17.5,35,7.5
1020,20,35,7.5
1021,22.5,35,7.5
1022,25,35,7.5
1023,0,37.5,7.5
1024,2.5,37.5,7.5
1025,5,37.5,7.5
1026,7.5,37.5,7.5
1027,10,37.5,7.5
1028,12.5,37.5,7.5
1029,15,37.5,7.5
1030,17.5,37.5,7.5
1031,20,37.5,7.5
1032,22.5,37.5,7.5
1033,25,37.5,7.5
1034,0,40,7.5
1035,2.5,40,7.5
1036,5,40,7.5
1037,7.5,40,7.5
1038,10,40,7.5
1039,12.5,40,7.5
1040,15,40,7.5
1041,17.5,40,7.5
1042,20,40,7.5
1043,22.5,40,7.5
1044,25,40,7.5
1045,0,42.5,7.5
1046,2.5,42.5,7.5
1047,5,42.5,7.5
1048,7.5,42.5,7.5
1049,10,42.5,7.5
1050,12.5,42.5,7.5
1051,15,42.5,7.5
1052,17.5,42.5,7.5
1053,20,42.5,7.5
1054,22.5,42.5,7.5
1055,25,42.5,7.5
1056,0,45,7.5
1057,2.5,45,7.5
1058,5,45,7.5
1059,7.5,45,7.5
1060,10,45,7.5
1061,12.5,45,7.5
1062,15,45,7.5
1063,17.5,45,7.5
1064,20,45,7.5
1065,22.5,45,7.5
1066,25,45,7.5
1067,0,47.5,7.5
1068,2.5,47.5,7.5
1069,5,47.5,7.5
1070,7.5,47.5,7.5
1071,10,47.5,7.5
1072,12.5,47.5,7.5
1073,15,47.5,7.5
1074,17.5,47.5,7.5
1075,20,47.5,7.5
1076,22.5,47.5,7.5
1077,25,47.5,7.5
1078,0,50,7.5
1079,2.5,50,7.5
1080,5,50,7.5
1081,7.5,50,7.5
1082,10,50,7.5
1083,12.5,50,7.5
1084,15,50,7.5
1085,17.5,50,7.5
1086,20,50,7.5
1087,22.5,50,7.5
1088,25,50,7.5
1089,0,52.5,7.5
1090,2.5,52.5,7.5
1091,5,52.5,7.5
1092,7.5,52.5,7.5
1093,10,52.5,7.5
1094,12.5,52.5,7.5
1095,15,52.5,7.5
1096,17.5,52.5,7.5
1097,20,52.5,7.5
1098,22.5,52.5,7.5
1099,25,52.5,7.5
1100,0,55,7.5
1101,2.5,55,7.5
1102,5,55,7.5
1103,7.5,55,7.5
1104,10,55,7.5
1105,12.5,55,7.5
1106,15,55,7.5
1107,17.5,55,7.5
1108,20,55,7.5
1109,22.5,55,7.5
1110,25,55,7.5
1111,0,57.5,7.5
1112,2.5,57.5,7.5
1113,5,57.5,7.5
1114,7.5,57.5,7.5
1115,10,57.5,7.5
1116,12.5,57.5,7.5
1117,15,57.5,7.5
1118,17.5,57.5,7.5
1119,20,57.5,7.5
1120,22.5,57.5,7.5
1121,25,57.5,7.5
1122,0,60,7.5
1123,2.5,60,7.5
1124,5,60,7.5
1125,7.5,60,7.5
1126,10,60,7.5
1127,12.5,60,7.5
1128,15,60,7.5
1129,17.5,60,7.5
1130,20,60,7.5
1131,22.5,60,7.5
1132,25,60,7.5
1133,0,62.5,7.5
1134,2.5,62.5,7.5
1135,5,62.5,7.5
1136,7.5,62.5,7.5
1137,10,62.5,7.5
1138,12.5,62.5,7.5
1139,15,62.5,7.5
1140,17.5,62.5,7.5
1141,20,62.5,7.5
1142,22.5,62.5,7.5
1143,25,62.5,7.5
1144,0,0,10
1145,2.5,0,10
1146,5,0,10
1147,7.5,0,10
1148,10,0,10
1149,12.5,0,10
1150,15,0,10
1151,17.5,0,10
1152,20,0,10
1153,22.5,0,10
1154,25,0,10
1155,0,2.5,10
1156,2.5,2.5,10
1157,5,2.5,10
1158,7.5,2.5,10
1159,10,2.5,10
1160,12.5,2.5,10
1161,15,2.5,10
1162,17.5,2.5,10
1163,20,2.5,10
1164,22.5,2.5,10
1165,25,2.5,10
1166,0,5,10
1167,2.5,5,10
1168,5,5,10
1169,7.5,5,10
1170,10,5,10
1171,12.5,5,10
1172,15,5,10
1173,17.5,5,10
1174,20,5,10
1175,22.5,5,10
1176,25,5,10
1177,0,7.5,10
1178,2.5,7.5,10
1179,5,7.5,10
1180,7.5,7.5,10
1181,10,7.5,10
1182,12.5,7.5,10
1183,15,7.5,10
1184,17.5,7.5,10
1185,20,7.5,10
1186,22.5,7.5,10
1187,25,7.5,10
1188,0,10,10
1189,2.5,10,10
1190,5,10,10
1191,7.5,10,10
1192,10,10,10
1193,12.5,10,10
1194,15,10,10
1195,17.5,10,10
1196,20,10,10
1197,22.5,10,10
1198,25,10,10
1199,0,12.5,10
1200,2.5,12.5,10
1201,5,12.5,10
1202,7.5,12.5,10
1203,10,12.5,10
1204,12.5,12.5,10
1205,15,12.5,10
1206,17.5,12.5,10
1207,20,12.5,10
1208,22.5,12.5,10
1209,25,12.5,10
1210,0,15,10
1211,2.5,15,10
1212,5,15,10
1213,7.5,15,10
1214,10,15,10
1215,12.5,15,10
1216,15,15,10
1217,17.5,15,10
1218,20,15,10
1219,22.5,15,10
1220,25,15,10
1221,0,17.5,10
1222,2.5,17.5,10
1223,5,17.5,10
1224,7.5,17.5,10
1225,10,17.5,10
1226,12.5,17.5,10
1227,15,17.5,10
1228,17.5,17.5,10
1229,20,17.5,10
1230,22.5,17.5,10
1231,25,17.5,10
1232,0,20,10
1233,2.5,20,10
1234,5,20,10
1235,7.5,20,10
1236,10,20,10
1237,12.5,20,10
1238,15,20,10
1239,17.5,20,10
1240,20,20,10
1241,22.5,20,10
1242,25,20,10
1243,0,22.5,10
1244,2.5,22.5,10
1245,5,22.5,10
1246,7.5,22.5,10
1247,10,22.5,10
1248,12.5,22.5,10
1249,15,22.5,10
1250,17.5,22.5,10
1251,20,22.5,10
1252,22.5,22.5,10
1253,25,22.5,10
1254,0,25,10
1255,2.5,25,10
1256,5,25,10
1257,7.5,25,10
1258,10,25,10
1259,12.5,25,10
1260,15,25,10
1261,17.5,25,10
1262,20,25,10
1263,22.5,25,10
1264,25,25,10
1265,0,27.5,10
1266,2.5,27.5,10
1267,5,27.5,10
